binomial,fossilArea
Arthrosaura kockii,68671.6074
Arthrosaura montigena,0
Arthrosaura reticulata,202238.7326
Arthrosaura synaptolepis,0
Arthrosaura testigensis,0
Arthrosaura tyleri,0
Arthrosaura versteegii,1205.684359
Asaccus barani,0
Asaccus caudivolvulus,520.7456884
Asaccus gallagheri,343.4416173
Asaccus granularis,0
Asaccus iranicus,0
Asaccus montanus,6.450937028
Asaccus platyrhynchus,1150.671638
Asaccus tangestanensis,1413.725209
Asaccus zagrosicus,0
Aspidelaps lubricus,122755.0239
Aspidelaps scutatus,260617.3935
Aspidites melanocephalus,739412.8861
Aspidites ramsayi,1221642.779
Aspidomorphus lineaticollis,730.0009105
Aspidomorphus muelleri,42708.05324
Aspidomorphus schlegelii,13105.16735
Aspidoscelis angusticeps,60198.19114
Aspidoscelis burti,32922.18153
Aspidoscelis calidipes,0
Aspidoscelis ceralbensis,11.93302507
Aspidoscelis communis,1496.744389
Aspidoscelis costata,13116.04698
Aspidoscelis cozumelae,3922.324379
Aspidoscelis danheimae,10.17962887
Aspidoscelis deppei,56960.54252
Aspidoscelis exsanguis,66624.95989
Aspidoscelis flagellicauda,16890.94928
Aspidoscelis gularis,251267.728
Aspidoscelis guttata,13931.6969
Aspidoscelis hyperythra,9552.010139
Aspidoscelis inornata,138495.4967
Aspidoscelis labialis,2898.52354
Aspidoscelis laredoensis,21290.69649
Aspidoscelis lineattissima,3511.668318
Aspidoscelis marmorata,139407.6213
Aspidoscelis maslini,1669.106566
Aspidoscelis maxima,160.059254
Aspidoscelis mexicana,0
Aspidoscelis motaguae,1653.91607
Aspidoscelis neomexicana,21052.03962
Aspidoscelis neotesselata,0
Aspidoscelis opatae,0
Aspidoscelis pai,1516.255746
Aspidoscelis parvisocia,0
Aspidoscelis picta,2.692473009
Aspidoscelis rodecki,522.0077438
Aspidoscelis sackii,0
Aspidoscelis scalaris,24704.16038
Aspidoscelis sexlineata,295093.9436
Aspidoscelis sonorae,5274.721838
Aspidoscelis stictogramma,3623.519219
Aspidoscelis tesselata,61877.20395
Aspidoscelis tigris,582026.8294
Aspidoscelis uniparens,46670.50338
Aspidoscelis velox,4113.617367
Aspidoscelis xanthonota,8477.17669
Aspidura brachyorrhos,1.231962047
Aspidura ceylonensis,0
Aspidura copei,0
Aspidura deraniyagalae,0
Aspidura drummondhayi,0
Aspidura guentheri,2.459392996
Aspidura trachyprocta,0
Aspronema cochabambae,6915.084636
Aspronema dorsivittatum,1219365.432
Asthenodipsas laevis,237699.5765
Asthenodipsas lasgalenensis,40.36388981
Asthenodipsas malaccanus,207875.976
Asthenodipsas tropidonotus,0
Asthenodipsas vertebralis,175974.7416
Astrochelys radiata,4775.500504
Astrochelys yniphora,694.3478393
Asymblepharus alaicus,73262.85876
Asymblepharus eremchenkoi,4118.761054
Asymblepharus himalayanus,61164.50363
Asymblepharus ladacensis,25312.28862
Asymblepharus mahabharatus,0
Asymblepharus nepalensis,0
Asymblepharus sikimmensis,138486.2299
Asymblepharus tragbulense,767.1228171
Ateuchosaurus chinensis,18592.67034
Ateuchosaurus pellopleurus,259.8077506
Atheris acuminata,9.837449989
Atheris anisolepis,5384.234019
Atheris barbouri,0
Atheris broadleyi,0
Atheris ceratophora,15.59966893
Atheris chlorechis,89156.57737
Atheris desaixi,0
Atheris hirsuta,0
Atheris hispida,30308.16148
Atheris katangensis,0
Atheris mabuensis,0
Atheris matildae,3760.455446
Atheris nitschei,17560.33786
Atheris rungweensis,10308.45235
Atheris squamigera,228108.5086
Atheris subocularis,0
Atlantolacerta andreanskyi,325.6795696
Atractaspis andersonii,49317.44125
Atractaspis aterrima,131337.757
Atractaspis battersbyi,242.8658886
Atractaspis bibronii,674209.6677
Atractaspis boulengeri,168660.8857
Atractaspis congica,153620.4908
Atractaspis corpulenta,128411.5659
Atractaspis dahomeyensis,77587.73658
Atractaspis duerdeni,8740.131475
Atractaspis engaddensis,25998.41227
Atractaspis engdahli,6.279051912
Atractaspis fallax,136657.9072
Atractaspis irregularis,284524.6488
Atractaspis leucomelas,11155.74725
Atractaspis magrettii,74192.04641
Atractaspis microlepidota,214227.4425
Atractaspis micropholis,169900.6349
Atractaspis phillipsi,18919.56713
Atractaspis reticulata,177861.4323
Atractaspis scorteccii,6605.882967
Atractaspis watsoni,763301.2883
Atractus acheronius,0
Atractus albuquerquei,409223.2761
Atractus alphonsehogei,98694.49693
Atractus altagratiae,0
Atractus alytogrammus,0
Atractus andinus,0
Atractus apophis,0
Atractus arangoi,0
Atractus atratus,0
Atractus attenuates,0
Atractus avernus,0
Atractus ayeush,0
Atractus badius,35793.13499
Atractus balzani,3178.121655
Atractus biseriatus,0
Atractus bocki,7513.823699
Atractus bocourti,38667.27238
Atractus boettgeri,103128.8825
Atractus caete,130.7913004
Atractus careolepis,0.307211565
Atractus carrioni,0
Atractus caxiuana,10752.05988
Atractus charitoae,0
Atractus chthonius,0
Atractus clarki,0
Atractus collaris,99360.06149
Atractus crassicaudatus,717.6778579
Atractus darienensis,0
Atractus depressiocellus,0
Atractus duboisi,0
Atractus duidensis,0
Atractus dunni,0
Atractus echidna,9.964484414
Atractus ecuadorensis,0
Atractus edioi,0
Atractus elaps,329042.9764
Atractus emigdioi,0
Atractus emmeli,159846.0315
Atractus eriki,0
Atractus erythromelas,0
Atractus favae,1398.572581
Atractus flammigerus,69352.75847
Atractus franciscopaivai,0
Atractus francoi,10.52021685
Atractus fuliginosus,0
Atractus gaigeae,0
Atractus gigas,0
Atractus guentheri,252.2244856
Atractus heliobelluomini,0
Atractus hoogmoedi,0
Atractus hostilitractus,0
Atractus imperfectus,0
Atractus indistinctus,0
Atractus insipidus,0
Atractus iridescens,0
Atractus lasallei,151.9316339
Atractus latifrons,550391.2221
Atractus lehmanni,0
Atractus limitaneus,0
Atractus loveridgei,0
Atractus macondo,9.992903631
Atractus maculatus,78.92641379
Atractus major,441632.6929
Atractus manizalesensis,1381.320611
Atractus mariselae,0
Atractus matthewi,0
Atractus medusa,9.996280628
Atractus melanogaster,0
Atractus melas,0
Atractus meridensis,0
Atractus micheleae,0
Atractus microrhynchus,3776.1841680000002
Atractus mijaresi,0
Atractus modestus,0
Atractus multicinctus,0
Atractus multidentatus,0
Atractus nasutus,0
Atractus natans,45083.47377
Atractus nicefori,2853.702969
Atractus nigricaudus,6.613617361
Atractus nigriventris,0
Atractus obesus,1194.845032
Atractus obtusirostris,50.59325818
Atractus occidentalis,0
Atractus occipitoalbus,39373.14073
Atractus ochrosetrus,0
Atractus oculotemporalis,0
Atractus orcesi,0
Atractus paisa,0
Atractus pamplonensis,0
Atractus pantostictus,75912.45411
Atractus paraguayensis,154774.1556
Atractus paravertebralis,2890.161429
Atractus paucidens,0
Atractus pauciscutatus,6.613617361
Atractus peruvianus,0
Atractus poeppigi,111165.8474
Atractus potschi,2383.542425
Atractus punctiventris,9.9962807
Atractus resplendens,0
Atractus reticulatus,135724.2884
Atractus riveroi,0
Atractus ronnie,0
Atractus roulei,2.813461641
Atractus sanctaemartae,0
Atractus sanguineus,0
Atractus savagei,0
Atractus schach,153492.1077
Atractus serranus,69.55694917
Atractus snethlageae,264217.2052
Atractus spinalis,0
Atractus steyermarki,0
Atractus surucucu,0
Atractus taeniatus,45655.55121
Atractus tamaensis,0
Atractus tamessari,0
Atractus taphorni,0
Atractus thalesdelemai,7109.402491
Atractus titanicus,731.3178579
Atractus torquatus,46356.37815
Atractus touzeti,0
Atractus trihedrurus,2171.956011
Atractus trilineatus,58595.83208
Atractus trivittatus,0
Atractus turikensis,0
Atractus typhon,0
Atractus univittatus,0.778806664
Atractus variegatus,46.9628973
Atractus ventrimaculatus,9.996280686
Atractus vertebralis,1969.216653
Atractus vertebrolineatus,0
Atractus vittatus,0
Atractus wagleri,0
Atractus werneri,0
Atractus zebrinus,3046.829578
Atractus zidoki,212.2718471
Atretium schistosum,410823.1713
Atretium yunnanensis,0
Atropoides indomitus,0
Atropoides mexicanus,9168.423206
Atropoides nummifer,95.75929268
Atropoides occiduus,4.811767806
Atropoides olmec,10.20680226
Atropoides picadoi,0
Aurivela longicauda,143820.8593
Aurivela tergolaevigata,3779.7184350000002
Australolacerta australis,345.4510542
Austrelaps labialis,2047.204988
Austrelaps ramsayi,269.7005488
Austrelaps superbus,9357.382658
Azemiops feae,24241.6649
Azemiops kharini,0
Bachia barbouri,3980.561028
Bachia bicolor,31766.96532
Bachia bresslaui,214419.8186
Bachia cacerensis,38609.43712
Bachia didactyla,0
Bachia dorbignyi,324171.4398
Bachia flavescens,255341.673
Bachia geralista,0
Bachia guianensis,0
Bachia heteropa,8148.686159
Bachia huallagana,13.63631668
Bachia intermedia,3980.561028
Bachia micromela,3720.086858
Bachia oxyrhina,0
Bachia pallidiceps,6094.283271
Bachia panoplia,26825.48044
Bachia peruana,21965.2175
Bachia psamophila,9286.253116
Bachia pyburni,0
Bachia scaea,0
Bachia scolecoides,4121.329089
Bachia talpa,7187.055247
Bachia trisanale,129871.9441
Baikia africana,0
Balanophis ceylonensis,5.51072295
Bamanophis dorri,104541.6156
Barisia ciliaris,20698.65064
Barisia herrerae,0
Barisia imbricata,34575.61868
Barisia levicollis,496.2418107
Barisia rudicollis,0
Barkudia insularis,4092.882159
Barkudia melanosticta,119.4788352
Basiliscus basilicus,0
Basiliscus basiliscus,54273.57067
Basiliscus galeritus,16819.72564
Basiliscus plumifrons,12967.8008
Basiliscus vittatus,141443.9138
Bassiana duperreyi,102885.8237
Bassiana platynota,23942.73372
Bassiana trilineata,3457.647424
Batagur affinis,150554.2088
Batagur baska,107567.9692
Batagur borneoensis,98330.72724
Batagur dhongoka,434909.9575
Batagur kachuga,434892.762
Batagur trivittata,71579.21973
Bavayia crassicollis,101.3368974
Bavayia cyclura,337.8452547
Bavayia exsuccida,26.61306555
Bavayia geitaina,38.48161721
Bavayia goroensis,1.889068903
Bavayia montana,102.0054404
Bavayia nubila,0
Bavayia ornata,0.252462782
Bavayia pulchella,0
Bavayia robusta,115.058494
Bavayia sauvagii,281.2648764
Bavayia septuiclavis,104.2721455
Bellatorias frerei,30346.15599
Bellatorias major,3365.232014
Bellatorias obiri,2736.007297
Bipes biporus,11129.12118
Bipes canaliculatus,15.63902153
Bipes tridactylus,162.7390855
Bitia hydroides,44271.4943
Bitis albanica,56.56296522
Bitis arietans,2321185.003
Bitis armata,296.078129
Bitis atropos,1375.388805
Bitis caudalis,235403.4121
Bitis cornuta,14543.39226
Bitis gabonica,348202.4455
Bitis heraldica,3359.585655
Bitis inornata,0
Bitis nasicornis,271758.8786
Bitis parviocula,897.9591168
Bitis peringueyi,36414.03317
Bitis rhinoceros,17085.0991
Bitis rubida,663.2538154
Bitis schneideri,14883.70308
Bitis worthingtoni,0
Bitis xeropaga,11631.09043
Blaesodactylus ambonihazo,0.165724265
Blaesodactylus antongilensis,805.5032921
Blaesodactylus boivini,800.3687192
Blaesodactylus microtuberculatus,0
Blaesodactylus sakalava,19995.61368
Blanus alexandri,1163.863139
Blanus aporus,12757.12988
Blanus cinereus,9146.741547
Blanus mariae,2776.025777
Blanus mettetali,8763.093523
Blanus tingitanus,2059.481631
Blythia reticulata,59299.16609
Boa constrictor,2419076.768
Boaedon capensis,563990.3748
Boaedon fuliginosus,1802318.87
Boaedon lineatus,1252630.578
Boaedon maculatus,38183.00631
Boaedon olivaceus,265145.7288
Boaedon radfordi,4265.711086
Boaedon upembae,0
Boaedon virgatus,109148.5889
Bogertophis rosaliae,1388.656265
Bogertophis subocularis,80573.99933
Boiga andamanensis,0
Boiga angulata,15417.04959
Boiga barnesii,1.290237099
Boiga beddomei,3571.725664
Boiga bengkuluensis,0
Boiga bourreti,14.91017206
Boiga ceylonensis,7666.358654
Boiga cyanea,343309.9595
Boiga cynodon,250789.5009
Boiga dendrophila,277460.1256
Boiga dightoni,0
Boiga drapiezii,236551.8159
Boiga flaviviridis,7494.349233
Boiga forsteni,365741.3851
Boiga gokool,127668.7182
Boiga guangxiensis,8255.119151
Boiga hoeseli,764.2665483
Boiga irregularis,383202.1993
Boiga jaspidea,235276.8891
Boiga kraepelini,130907.4013
Boiga multifasciata,38597.66312
Boiga multomaculata,24312.25859
Boiga nigriceps,215061.4989
Boiga nuchalis,49783.2946
Boiga ochracea,108152.1469
Boiga philippina,55.59426758
Boiga quincunciata,22632.91335
Boiga saengsomi,2.82283169
Boiga schultzei,1.808191473
Boiga siamensis,391070.5317
Boiga tanahjampeana,0
Boiga wallachi,487.3328225
Boiruna maculata,1925828.832
Boiruna sertaneja,82205.33772
Borikenophis portoricensis,596.5506451
Borikenophis variegatus,4.694936309
Bothriechis aurifer,0.72987658
Bothriechis bicolor,0
Bothriechis guifarroi,2.25578476
Bothriechis lateralis,0
Bothriechis marchi,870.6845711
Bothriechis nigroviridis,0
Bothriechis rowleyi,0
Bothriechis schlegelii,45509.01603
Bothriechis supraciliaris,0
Bothriechis thalassinus,102.2805171
Bothrochilus albertisii,6755.762833
Bothrochilus biakensis,38.56802969
Bothrochilus boa,406.2811253
Bothrochilus fredparkeri,0
Bothrochilus huonensis,9.996280668
Bothrochilus meridionalis,18194.51306
Bothrochilus montanus,0
Bothrocophias andianus,16864.28912
Bothrocophias campbelli,1662.618696
Bothrocophias colombianus,0
Bothrocophias hyoprora,320333.1138
Bothrocophias microphthalmus,230293.6971
Bothrocophias myersi,40.15280436
Bothrolycus ater,22542.35594
Bothrophthalmus brunneus,127.2014384
Bothrophthalmus lineatus,270499.518
Bothrops alcatraz,1.034428258
Bothrops alternatus,1214928.676
Bothrops ammodytoides,546635.2908
Bothrops asper,231931.307
Bothrops atrox,880540.6946
Bothrops ayerbei,0
Bothrops barnetti,18503.39279
Bothrops bilineata,614887.7281
Bothrops brazili,415280.6074
Bothrops caribbaeus,10.94444249
Bothrops chloromelas,53338.38053
Bothrops cotiara,610.4122683
Bothrops diporus,1413034.989
Bothrops erythromelas,82547.66664
Bothrops fonsecai,601.6682424
Bothrops insularis,9.996280707
Bothrops itapetiningae,109102.3556
Bothrops jararaca,40538.57325
Bothrops jararacussu,138979.6736
Bothrops jonathani,103786.6801
Bothrops lanceolatus,30.39779887
Bothrops leucurus,22100.53087
Bothrops lojanus,0
Bothrops lutzi,72867.2611
Bothrops marajoensis,41517.99299
Bothrops marmoratus,18769.48619
Bothrops matogrossensis,955127.2686
Bothrops medusa,755.6786116
Bothrops moojeni,730518.4425
Bothrops muriciensis,143.6967701
Bothrops neuwiedi,49839.3426
Bothrops oligolepis,96920.2244
Bothrops osbornei,6863.315734
Bothrops otavioi,7.626797642
Bothrops pauloensis,266015.893
Bothrops pictus,3605.40006
Bothrops pirajai,2220.76984
Bothrops pubescens,47458.087270000004
Bothrops pulchra,11926.30192
Bothrops punctatus,5880.155447
Bothrops rhombeatus,6988.304898
Bothrops sanctaecrucis,94255.40737
Bothrops taeniata,404158.6938
Bothrops venezuelensis,2169.464425
Brachylophus bulabula,334.9045874
Brachylophus fasciatus,77.29824486
Brachylophus vitiensis,55.73907112
Brachymeles apus,25.85809071
Brachymeles bicolandia,697.6225782
Brachymeles bicolor,96.10364659
Brachymeles boholensis,80.67239556
Brachymeles bonitae,464.6210585
Brachymeles boulengeri,13201.48736
Brachymeles brevidactylus,38.68461155
Brachymeles cebuensis,15.21500188
Brachymeles cobos,29.03269713
Brachymeles elerae,17647.86547
Brachymeles gracilis,3524.219069
Brachymeles hilong,416.2332775
Brachymeles isangdaliri,1.485156531
Brachymeles kadwa,10500.59094
Brachymeles libayani,48.70354721
Brachymeles lukbani,0
Brachymeles makusog,106.5269719
Brachymeles mapalanggaon,13.92389119
Brachymeles mindorensis,410.6544438
Brachymeles minimus,19.14791162
Brachymeles miriamae,669.6188143
Brachymeles muntingkamay,0
Brachymeles orientalis,174.4859278
Brachymeles paeforum,144.1823992
Brachymeles pathfinderi,608.4944933
Brachymeles samad,402.4820624
Brachymeles samarensis,1213.920339
Brachymeles schadenbergi,3409.688425
Brachymeles suluensis,39.55558465
Brachymeles talinis,2037.189229
Brachymeles taylori,906.0907703
Brachymeles tiboliorum,1455.39587
Brachymeles tridactylus,2394.776328
Brachymeles tungaoi,65.26599151
Brachymeles vermis,57.79125439
Brachymeles vindumi,33.85312736
Brachymeles vulcani,49.00638588
Brachymeles wrighti,0
Brachyophidium rhodogaster,884.7033784
Brachyophis revoili,6975.575804
Brachyorrhos albus,1138.648012
Brachyorrhos gastrotaenius,0
Brachyorrhos raffrayi,0.043927261
Brachyorrhos wallacei,0
Brachysaura minor,1098588.412
Brachyurophis approximans,11912.63944
Brachyurophis australis,427682.002
Brachyurophis fasciolatus,671846.5397
Brachyurophis incinctus,295952.5833
Brachyurophis morrisi,6289.973297
Brachyurophis roperi,297886.1908
Brachyurophis semifasciatus,730788.738
Bradypodion atromontanum,0
Bradypodion caeruleogula,0
Bradypodion caffer,27.26469229
Bradypodion damaranum,184.832862
Bradypodion dracomontanum,0
Bradypodion gutturale,859.732926
Bradypodion kentanicum,20.67831658
Bradypodion melanocephalum,18.30383205
Bradypodion nemorale,17.99492316
Bradypodion ngomeense,0
Bradypodion occidentale,344.8900074
Bradypodion pumilum,3871.119916
Bradypodion setaroi,950.1831932
Bradypodion taeniabronchum,147.9870979
Bradypodion thamnobates,0
Bradypodion transvaalense,0
Bradypodion ventrale,5008.888885
Brasiliscincus agilis,5425.169114
Brasiliscincus caissara,966.5746665
Brasiliscincus heathi,83577.39732
Broadleysaurus major,450910.6856
Bronchocela celebensis,21.73454583
Bronchocela cristatella,292607.3185
Bronchocela danieli,72.94665562
Bronchocela hayeki,0
Bronchocela jubata,94514.2382
Bronchocela marmorata,12650.52148
Bronchocela orlovi,0
Bronchocela rayaensis,0
Bronchocela rubrigularis,107.7654996
Bronchocela shenlong,0
Bronchocela smaragdina,18.24634935
Bronchocela vietnamensis,0
Brookesia ambreensis,0
Brookesia antakarana,0
Brookesia bekolosy,0
Brookesia betschi,0
Brookesia bonsi,0
Brookesia brunoi,0
Brookesia brygooi,19160.22639
Brookesia confidens,0
Brookesia decaryi,0.165724265
Brookesia dentata,0.165724265
Brookesia desperata,0.769226651
Brookesia ebenaui,423.6512845
Brookesia exarmata,0
Brookesia griveaudi,278.8392947
Brookesia karchei,0
Brookesia lambertoni,0
Brookesia lineata,0
Brookesia micra,1.536703135
Brookesia minima,84.94049286
Brookesia perarmata,0
Brookesia peyrierasi,241.9074224
Brookesia ramanantsoai,0
Brookesia stumpffi,4732.420069
Brookesia superciliaris,1146.69527
Brookesia therezieni,239.1999081
Brookesia thieli,1397.977608
Brookesia tristis,41.32017335
Brookesia tuberculata,0
Brookesia vadoni,285.1384784
Brookesia valerieae,0
Brygophis coulangesi,0
Bufoniceps laungwalaensis,5494.269854
Buhoma depressiceps,174454.9592
Buhoma procterae,3.473004547
Buhoma vauerocegae,284.9861845
Bungarus andamanensis,419.1073492
Bungarus bungaroides,54895.18868
Bungarus caeruleus,1376456.939
Bungarus candidus,388178.5335
Bungarus ceylonicus,0.027047888
Bungarus fasciatus,983659.6831
Bungarus flaviceps,248972.7886
Bungarus lividus,115700.775
Bungarus magnimaculatus,21557.74445
Bungarus multicinctus,89522.98411
Bungarus niger,12547.18332
Bungarus persicus,0
Bungarus sindanus,8267.797273
Bungarus slowinskii,0.304639838
Bunopus blanfordii,379.7557062
Bunopus spatalurus,92770.82438
Caaeteboia amarali,4626.686843
Cacophis churchilli,3206.922985
Cacophis harriettae,13188.02581
Cacophis krefftii,3175.717375
Cacophis squamulosus,10103.65465
Cadea blanoides,7017.693492
Cadea palirostrata,14.34977195
Caiman crocodilus,839313.6233
Caiman latirostris,1205551.711
Caiman yacare,1529213.135
Calabaria reinhardtii,245710.5423
Calamaria abramovi,0
Calamaria abstrusa,125.8883424
Calamaria acutirostris,0
Calamaria albiventer,29918.7746
Calamaria alidae,1981.583686
Calamaria apraeocularis,0
Calamaria banggaiensis,0
Calamaria battersbyi,0
Calamaria bicolor,104473.1044
Calamaria bitorques,5.819989884
Calamaria boesemani,0
Calamaria borneensis,11069.45533
Calamaria brongersmai,0
Calamaria buchi,321.4529372
Calamaria butonensis,0
Calamaria ceramensis,0
Calamaria concolor,0
Calamaria crassa,6.798090699
Calamaria curta,0
Calamaria doederleini,0
Calamaria eiselti,0
Calamaria everetti,104473.1044
Calamaria forcarti,194.8803448
Calamaria gervaisii,2065.341451
Calamaria gialaiensis,0
Calamaria grabowskyi,104473.1044
Calamaria gracillima,2065.341451
Calamaria griswoldi,0
Calamaria hilleniusi,104473.0949
Calamaria ingeri,14.25795725
Calamaria javanica,0
Calamaria joloensis,29.77471221
Calamaria lateralis,0
Calamaria lautensis,0.874575479
Calamaria leucogaster,188271.1186
Calamaria linnaei,20756.33371
Calamaria longirostris,0
Calamaria lovii,140573.4462
Calamaria lumbricoidea,240776.7408
Calamaria lumholtzi,358.4357869
Calamaria margaritophora,37441.39858
Calamaria mecheli,39908.39094
Calamaria melanota,34369.14131
Calamaria modesta,1543.30125
Calamaria muelleri,863.758047
Calamaria nuchalis,0
Calamaria palawanensis,648.8520688
Calamaria pavimentata,360544.7844
Calamaria pfefferi,10.66789379
Calamaria prakkei,661.3620171
Calamaria rebentischi,25.77128726
Calamaria sangi,0
Calamaria schlegeli,213750.6605
Calamaria schmidti,0
Calamaria septentrionalis,146759.7656
Calamaria suluensis,19507.94371
Calamaria sumatrana,52465.93971
Calamaria thanhi,0
Calamaria ulmeri,0
Calamaria virgulata,183552.0696
Calamaria yunnanensis,0
Calamodontophis paucidens,9518.133962
Calamodontophis ronaldoi,22.63169251
Calamophis jobiensis,260.8560207
Calamophis katesandersae,0
Calamophis ruuddelangi,0
Calamophis sharonbrooksae,0
Calamorhabdium acuticeps,0
Calamorhabdium kuekenthali,0
Caledoniscincus aquilonius,11.50146417
Caledoniscincus atropunctatus,713.4065542
Caledoniscincus auratus,27.07906466
Caledoniscincus austrocaledonicus,473.4390579
Caledoniscincus chazeaui,1.128886087
Caledoniscincus constellatus,0
Caledoniscincus cryptos,0
Caledoniscincus festivus,310.2083457
Caledoniscincus haplorhinus,473.4390579
Caledoniscincus notialis,23.28312231
Caledoniscincus orestes,0.254656875
Caledoniscincus pelletieri,0
Caledoniscincus renevieri,0
Caledoniscincus terma,0
Calliophis beddomei,0
Calliophis bibroni,5918.435328
Calliophis bivirgata,229886.8714
Calliophis castoe,195.0271025
Calliophis gracilis,37010.13759
Calliophis haematoetron,0
Calliophis intestinalis,229074.5625
Calliophis maculiceps,312680.9319
Calliophis melanurus,196941.0014
Calliophis nigrescens,4081.43877
Callisaurus draconoides,310918.9643
Callopistes flavipunctatus,18934.64441
Callopistes maculatus,1233.849658
Calloselasma rhodostoma,229206.5331
Calodactylodes aureus,8272.125313
Calodactylodes illingworthorum,10.83002313
Calotes aurantolabium,4685.054009
Calotes bachae,2396.802967
Calotes bhutanensis,0
Calotes calotes,29246.93398
Calotes ceylonensis,468.5791153
Calotes chincollium,2065.63949
Calotes desilvai,0
Calotes ellioti,4318.066596
Calotes emma,330665.7458
Calotes grandisquamis,1172.450488
Calotes htunwini,6877.522726
Calotes irawadi,18394.59078
Calotes jerdoni,33690.66586
Calotes liocephalus,443.4676605
Calotes liolepis,0.796021409
Calotes manamendrai,0
Calotes maria,1895.839624
Calotes medogensis,0
Calotes mystaceus,317409.9018
Calotes nemoricola,12587.84399
Calotes nigrilabris,0
Calotes nigriplicatus,37.93789136
Calotes pethiyagodai,0
Calotes rouxii,23448.24238
Calotes versicolor,1966595.122
Calumma amber,0
Calumma ambreense,0
Calumma andringitraense,0
Calumma boettgeri,1262.317667
Calumma brevicorne,23.83294943
Calumma capuroni,0
Calumma crypticum,908.3172309
Calumma cucullatum,259.2152563
Calumma fallax,9.98867191
Calumma furcifer,208.8608663
Calumma gallus,763.6502049
Calumma gastrotaenia,1621.314423
Calumma glawi,0
Calumma globifer,0
Calumma guibei,0
Calumma guillaumeti,0
Calumma hafahafa,0
Calumma hilleniusi,0
Calumma jejy,0
Calumma malthe,300.0179816
Calumma marojezense,16.16061938
Calumma nasutum,4011.264197
Calumma oshaughnessyi,0
Calumma parsonii,1174.468235
Calumma peltierorum,0
Calumma peyrierasi,0
Calumma tarzan,0
Calumma tsaratananense,0
Calumma tsycorne,0
Calumma vatosoa,0
Calumma vencesi,0
Calumma vohibola,244.1172284
Calyptommatus confusionibus,14885.5215
Calyptommatus leiolepis,37728.66694
Calyptommatus nicterus,37728.66694
Calyptommatus sinebrachiatus,37728.66694
Calyptotis lepidorostrum,4346.984136
Calyptotis ruficauda,1024.686321
Calyptotis scutirostrum,6049.89837
Calyptotis temporalis,2817.719833
Calyptotis thorntonensis,0.057586052
Candoia aspera,43415.72885
Candoia bibroni,109.1437542
Candoia carinata,37530.46716
Candoia paulsoni,818.7473141
Candoia superciliosa,127.1069561
Cantoria violacea,214309.8648
Caparaonia itaiquara,2967.059242
Capitellum mariagalantae,0
Capitellum metallicum,24.5300793
Capitellum parvicruzae,30.73334011
Caraiba andreae,45719.62023
Carettochelys insculpta,114209.8875
Carlia aenigma,8179.316366
Carlia ailanpalai,10.52903604
Carlia amax,80245.82995
Carlia aramia,9645.011378
Carlia babarensis,100.4326471
Carlia beccarii,109.6039938
Carlia bicarinata,389.1768825
Carlia bomberai,399.2111516
Carlia caesius,42566.35437
Carlia decora,8251.186139
Carlia diguliensis,396.2695179
Carlia dogare,1173.189259
Carlia eothen,41.05698734
Carlia fusca,50259.86489
Carlia gracilis,69727.7657
Carlia inconnexa,33.94358148
Carlia jarnoldae,17294.41493
Carlia johnstonei,181.7077797
Carlia leucotaenia,221.250821
Carlia longipes,106683.0458
Carlia luctuosa,369.0850015
Carlia munda,690832.8735
Carlia mysi,1284.961185
Carlia nigrauris,0.917076468
Carlia pectoralis,29029.40693
Carlia peronii,234.2376859
Carlia pulla,27.37636296
Carlia quinquecarinata,2.489569811
Carlia rhomboidalis,8569.867679
Carlia rimula,721.0136606
Carlia rostralis,119546.711
Carlia rubigo,38113.99031
Carlia rubrigularis,2985.359689
Carlia rufilatus,49499.93832
Carlia schmeltzii,91304.58789
Carlia sexdentata,12681.44362
Carlia spinauris,0
Carlia storri,16592.95948
Carlia sukur,7.08112667
Carlia tetradactyla,78686.50716
Carlia triacantha,642202.0442
Carlia tutela,22.25585784
Carlia vivax,89863.3336
Carlia wundalthini,3.332961709
Carphodactylus laevis,40.13418268
Carphophis amoenus,40107.98744
Carphophis vermis,9325.463094
Casarea dussumieri,0
Causus bilineatus,125089.3
Causus defilippii,319251.4104
Causus lichtensteinii,295138.2351
Causus maculatus,1091210.934
Causus rasmusseni,0
Causus resimus,368837.176
Causus rhombeatus,971814.8625
Celatiscincus euryotis,10.81877306
Celatiscincus similis,9.370822872
Celestus adercus,0
Celestus agasepsoides,93.24834495
Celestus anelpistus,0
Celestus badius,1.221492866
Celestus barbouri,2.944876685
Celestus bivittatus,2002.273527
Celestus carraui,0
Celestus costatus,5211.20466
Celestus crusculus,381.703475
Celestus curtissi,2883.488891
Celestus cyanochloris,0
Celestus darlingtoni,0
Celestus duquesneyi,1.881686266
Celestus enneagrammus,0
Celestus fowleri,0
Celestus haetianus,118.2450591
Celestus hewardi,7.828603598
Celestus hylaius,0
Celestus macrotus,0
Celestus marcanoi,0
Celestus microblepharis,0
Celestus montanus,8.376584909
Celestus orobius,0
Celestus rozellae,10924.47642
Celestus scansorius,0
Celestus sepsoides,3776.716957
Celestus stenurus,5167.590101
Celestus warreni,101.0993737
Cemophora coccinea,158684.8634
Centrochelys sulcata,1343909.602
Cerastes boehmei,2553.560159
Cerastes cerastes,2967825.907
Cerastes gasperettii,953453.5824
Cerastes vipera,3188553.675
Ceratophora aspera,4.577894599
Ceratophora erdeleni,0
Ceratophora karu,0
Ceratophora stoddartii,0
