OBJECTID,FID_AMPHIBIANS_Dissolve,id_no,binomial,original_area_km2,FID_Basins,Type,ID,Structure,Area,SubClass,MainClass,VERTEX,Shape_Length,Shape_Area,final_area_km2
21,535,54476,Ansonia minuta,26679.49527,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.591704798,0.062750283,772.1319966
22,899,54868,Pelophryne lighti,4116.05606,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.025878566,1.82601E-05,0.222601335
23,238,39419,Onychodactylus fischeri,341734.0346,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,106.1851931,2.370450905,20707.01545
24,532,54473,Ansonia longidigita,103142.7885,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.382134975,0.057514038,707.7664297
25,244,40799,Limnonectes diuatus,4655.127479,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.008741473,1.65524E-06,0.020106963
26,407,41225,Occidozyga diminutiva,4355.895291,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.628642933,0.004330318,52.9969043
27,409,41231,Limnonectes leytensis,144027.5608,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,96.65639783,0.438087252,5325.63277
28,1696,55741,Litoria napaea,8567.106585,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.19302389,0.063326641,778.3350787
29,1701,55746,Litoria pratti,207.3618773,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.109313105,0.000125977,1.549300534
30,1724,55770,Nyctimystes fluviatilis,63395.67728,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,12.93939131,0.805520207,9900.538791
31,809,54766,Bufo stejnegeri,150839.1789,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.429372424,0.028546815,278.6511015
32,3434,57580,Megophrys ligayae,2450.651587,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.319173593,0.000440756,5.373831774
33,536,54477,Ansonia muelleri,8711.485034,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.0256255,0.013284422,160.9861979
34,538,54479,Ansonia penangensis,39.71279869,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.088926706,0.000135401,1.659379786
35,542,54483,Ansonia spinulifer,53930.42759,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.894940497,0.151524687,1863.880621
36,1738,55784,Litoria rueppelli,7887.911408,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,8.15990113,0.006154059,75.71055958
37,531,54472,Ansonia leptopus,90466.35097,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,31.27497543,1.002472268,12329.71948
38,12,1272,Andrias davidianus,485718.4455,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,46.82446227,4.289606636,45246.94048
39,13,1273,Andrias japonicus,57086.02742,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,9.005233054,0.115702893,1169.636901
40,27,2665,Paradactylodon persicus,40861.9349,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,6.082808636,0.123999736,1225.647928
41,79,10613,Hynobius abei,2256.814942,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.291447114,0.021739203,217.4995782
42,81,10616,Hynobius okiensis,249.5398604,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.078477243,0.001608683,16.05191405
43,83,10618,Hynobius takedai,2286.798878,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.680711356,0.027127157,268.8714041
44,3503,57653,Megophrys shapingensis,91373.07272,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.811217572,0.014354954,151.8672684
45,3508,57658,Megophrys wushanensis,95966.72367,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.446925568,0.040235393,416.5033137
46,3570,57723,Glyphoglossus brooksii,8039.440302,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.078685399,0.086621926,1065.835884
47,3403,57541,Megophrys platyparietus,793260.283,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.739707863,0.046043476,515.5184727
48,3406,57545,Leptobrachella natunae,1641.919214,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.393033286,0.004977382,61.13743568
49,3409,57548,Leptobrachella serasanae,4936.212609,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.4884249,0.000401608,4.93874588
50,3415,57556,Leptobrachium montanum,26539.32407,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.07122287,6.49356E-05,0.798917724
51,3699,57859,Kaloula verrucosa,297128.3307,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.184446913,0.074671155,833.6142281
52,3665,57824,Hylophorbus nigrinus,223.6864972,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.360371966,0.009988472,122.7670385
53,3670,57829,Hylophorbus tetraphonus,2133.070586,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.518279657,0.001686098,20.73261378
54,3671,57830,Hylophorbus wondiwoi,130.3977868,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.032656917,1.78324E-05,0.219222753
55,213,26438,Philautus leitensis,9936.113717,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.842139169,0.003163157,38.33770744
56,218,29419,Hylarana chitwanensis,21699.46721,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,11.88145473,0.622463304,6854.512235
57,225,29435,Amolops cremnobatus,121959.7308,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.00908012,4.52089E-06,0.053110337
58,3675,57834,Kalophrynus bunguranus,1642.54768,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.399458123,0.005028473,61.76506103
59,3677,57836,Kalophrynus heterochirus,33106.08997,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,9.850143485,0.085395854,1049.303682
60,3440,57587,Megophrys koui,154753.7411,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.209142648,0.005872373,68.10903056
61,3446,57593,Oreolalax major,42384.31114,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.192490826,0.000556754,5.923666447
62,3614,57772,Cophixalus balbus,25794.31973,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.0780158,0.00017262,2.123693261
63,1686,55731,Litoria longicrus,1082.350458,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.115546842,0.000145036,1.783699456
64,1693,55738,Litoria mucro,28155.1551,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,7.556224755,0.005795304,71.23848701
65,3411,57551,Leptobrachium chapaense,353370.6346,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,7.506146721,0.108157558,1253.283922
66,784,54738,Bufotes pseudoraddei,119311.1321,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,6.648043657,0.467110857,4878.880323
67,787,54741,Ingerophrynus quadriporcatus,96398.05568,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,76.86043019,2.209029795,27166.22074
68,3717,57879,Microhyla chakrapanii,29.84042286,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.006663517,1.77941E-06,0.021360058
69,3718,57880,Micryletta erythropoda,178754.0161,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,64.97476669,5.964979117,72194.16163
70,3747,57909,Oreophryne celebensis,10109.05649,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.011900902,3.21089E-06,0.03951842
71,3751,57913,Oreophryne frontifasciata,2283.961241,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.971322733,0.002451806,30.15449387
72,3759,57921,Oreophryne kapisa,2178.541732,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.701704182,0.009914209,122.020025
73,3762,57924,Oreophryne moluccensis,20102.36357,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,18.46892692,0.019391464,238.6552257
74,3417,57559,Leptobrachium smithi,206545.9432,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,46.31057125,1.153375304,13620.28572
75,700,54645,Ingerophrynus galeatus,279353.2904,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.298947479,0.000194957,2.313236613
76,902,54874,Pseudobufo subasper,182213.5668,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,64.2038356,4.526767563,55681.80533
77,4144,58343,Limnonectes kenepaiensis,768.029727,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.936287774,0.001266417,15.57856272
78,416,41239,Limnonectes namiyei,232.2754787,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.281432115,0.000243648,2.687323051
79,417,41240,Alcalus tasanae,6143.946359,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.040331954,3.60335E-05,0.438286166
80,511,54449,Bombina orientalis,939923.7702,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,371.1957832,20.44048733,178438.8085
81,3621,57779,Cophixalus montanus,94.72820585,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.132918185,0.000103247,1.270245619
82,3640,57799,Copiula pipiens,63511.37589,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,32.55652141,0.634238988,7796.252746
83,3726,57888,Nanohyla perparva,30751.70254,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.433840128,0.006814911,83.86612192
84,4106,58302,Huia cavitympanum,220248.9068,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,9.090286791,0.079439919,975.7242328
85,3437,57583,Megophrys stejnegeri,15009.442,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.532700914,0.00045261,5.485106568
86,3438,57585,Megophrys hansi,75873.01251,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.043884068,0.002300607,27.17373766
87,4128,58326,Limnonectes acanthi,4560.31572,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.661479413,0.004269143,51.73106287
88,4130,58328,Limnonectes asperatus,10258.51699,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,6.561159055,0.301088286,3703.460211
89,3399,57537,Megophrys carinense,148226.1241,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.924026244,0.026609844,308.8821845
90,4166,58365,Limnonectes rhacodus,43005.37114,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,9.548604118,0.660423127,8123.378969
91,3696,57856,Kaloula rigida,13858.1703,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.436014819,0.000222861,2.609955547
92,3697,57857,Kaloula rugifera,54595.31503,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,12.32719839,0.580440555,6156.385238
93,3698,57858,Uperodon taprobanicus,935710.5119,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,248.9662439,25.74100131,297520.5241
94,4038,58226,Odorrana tormota,28320.06379,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.749441133,0.065186448,690.8792205
95,4042,58230,Amolops wuyiensis,102729.7494,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,7.933126989,0.032344276,357.9851522
96,4056,58245,Nanorana quadranus,401340.2244,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,45.07605014,1.821790363,18854.85397
97,3451,57598,Oreolalax popei,34240.88788,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.153677073,0.034973376,361.9844868
98,3459,57607,Scutiger boulengeri,703231.8111,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,40.0913508,0.541138396,5744.947491
99,3470,57619,Scutiger nyingchiensis,234378.6669,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,16.2491665,0.280443593,2870.330183
100,3472,57622,Scutiger sikimmensis,103584.2867,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.844740174,0.026230488,289.0573773
101,3479,57629,Megophrys aceras,118067.8016,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,44.34087557,0.645986634,7886.60868
102,3574,57727,Glyphoglossus volzi,2802.014607,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.389458513,0.057610108,708.3458337
103,3575,57728,Glyphoglossus yunnanensis,242251.1099,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.739707863,0.046043476,515.5184727
104,3576,57730,Callulops boettgeri,179.373399,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.127898999,9.85781E-05,1.212803455
105,3578,57733,Callulops dubius,3399.762824,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.008357168,0.001428988,17.58278527
106,3579,57734,Asterophrys eurydactyla,1722.417024,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.00258262,1.38628E-07,0.001704197
107,3580,57735,Callulops fuscus,3313.761431,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.448051701,0.006549344,80.51417238
108,3727,57889,Nanohyla petrigena,25911.6629,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,2.783554754,0.003894006,47.79764081
109,716,54662,Duttaphrynus himalayanus,497877.1438,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,28.4409994,2.839141569,29790.76468
110,719,54665,Duttaphrynus hololius,2062.032332,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.265644229,0.061381191,731.6864281
111,726,54673,Bufo japonicus,295039.6171,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,231.2812852,1.629062292,16202.72323
112,4168,58368,Limnonectes tweediei,49349.08031,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.418108559,0.003526641,43.33194094
113,4169,58370,Meristogenys jerboa,7986.38822,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.875604903,0.067909389,835.5873448
114,814,54772,Bufotes surdus,291298.089,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,231.3779683,11.34803591,123585.8658
115,822,54781,Bufo torrenticola,21579.83085,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,13.02926028,0.050939442,516.4500961
116,4173,58374,Meristogenys phaeomerus,215265.3217,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,7.20563501,0.156634585,1926.684252
117,4170,58371,Meristogenys kinabaluensis,51127.85001,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.305633292,0.001184512,14.51822957
118,4172,58373,Meristogenys orphnocnemis,42638.3151,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.051898654,0.023438404,287.6874209
119,4174,58375,Meristogenys poecilus,101403.7847,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.572817228,0.069049745,849.5444299
120,4176,58378,Micrixalus fuscus,27452.16055,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.09639975,0.000272834,3.32226005
121,4181,58383,Micrixalus phyllophilus,4654.818706,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.086690652,0.000326117,3.967306659
122,4182,58384,Micrixalus saxicola,9661.575298,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.9118747,0.015901255,193.4777362
123,3482,57632,Megophrys boettgeri,392726.3693,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,57.95814728,1.169574245,12646.54681
124,3483,57633,Megophrys brachykolos,86.0741607,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.192806136,0.00023873,2.726006356
125,3491,57641,Megophrys kuatunensis,230251.1994,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,4.289096573,0.049093955,555.8104357
126,3492,57642,Megophrys longipes,22284.93508,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.454755932,0.001346436,16.35203342
127,3422,57567,Leptobrachella heteropus,51040.93462,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.088092906,0.006054317,74.25724652
128,3426,57572,Leptobrachella pelodytoides,640860.7736,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,51.34382807,0.840221556,9913.169806
129,729,54676,Phrynoidis juxtaspera,259019.2707,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,13.9983357,0.237782519,2919.61134
130,3690,57850,Kaloula conjuncta,27864.96805,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,11.10315791,0.028166307,340.9898127
131,4072,58263,Euphlyctis hexadactylus,1477332.531,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,362.6378794,32.974614,379981.8723
132,4073,58265,Minervarya andamanensis,101.5702218,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.464214871,0.001222262,14.86098187
133,4257,58460,Platymantis guentheri,16594.98872,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.491058693,0.003697202,44.81985878
134,3820,57986,Uperodon montanus,35587.89329,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.986149775,0.034708811,421.7538956
135,3826,57992,Uperodon variegatus,1059286.531,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,224.2730334,14.21867002,166683.3206
136,4358,58569,Rana chaochiaoensis,359124.0216,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.184446913,0.074671155,833.6142281
137,3414,57555,Leptobrachium hendricksoni,180730.8702,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,84.70484148,1.723213224,21158.6707
138,4142,58341,Limnonectes ingeri,38252.07594,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.037409656,0.079073116,969.8614009
139,4209,58412,Occidozyga magnapustulosa,235435.5299,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,84.69832748,3.408384082,40476.71817
140,666,54610,Ingerophrynus claviger,7890.478818,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.145980622,0.009740252,119.8746762
141,685,54629,Ingerophrynus divergens,330572.0914,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,63.39663932,2.091968352,25717.94732
142,3659,57818,Gastrophrynoides borneensis,11150.90523,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.519298636,0.003495098,43.0031462
143,3661,57820,Glyphoglossus molossus,871247.1778,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,346.972308,26.0963855,310953.6228
144,3678,57837,Kalophrynus interlineatus,1189925.995,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,258.5032384,12.35603607,145617.883
145,3679,57838,Kalophrynus intermedius,23436.12005,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,5.027236593,0.074369465,915.1336998
146,3785,57948,Phrynella pulchra,389720.4865,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,190.712903,6.877632901,84575.08506
147,4254,58457,Cornufer cryptotis,1332.217308,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.986047977,0.001060932,13.05246778
148,4255,58458,Platymantis dorsalis,62585.78503,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,67.65754991,0.344815515,4144.007665
149,4260,58463,Platymantis lawtoni,1145.030918,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.953223819,0.001629657,19.60303931
150,4261,58464,Platymantis luzonensis,2668.881899,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1.202680534,0.000774154,9.219634778
151,4266,58469,Platymantis mimulus,7699.488573,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.199725334,0.000544317,6.444695346
152,4273,58476,Cornufer pelewensis,467.0337269,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,3.661072866,0.003827365,46.72972766
153,4275,58478,Cornufer punctatus,24008.64983,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,19.834399,0.046442841,571.1992168
154,4280,58483,Platymantis taylori,7209.945615,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.068391202,4.932E-05,0.582082854
155,4283,58488,Pterorana khare,6650.132597,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.929568744,0.016943712,187.3443784
156,4331,58539,Sanguirana mearnsi,6789.525967,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.092967958,8.34918E-05,1.010714854
157,767,54718,Bufotes oblongus,297954.9774,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,274.5461771,14.93989479,151470.5572
158,769,54721,Duttaphrynus olivaceus,334332.0965,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,227.2067701,9.541084495,104142.5385
159,773,54725,Duttaphrynus parietalis,20604.52646,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,0.607523814,0.005021028,61.0624644
160,775,54727,Ingerophrynus parvus,555775.8872,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,176.5285392,3.825117721,46880.12148
161,780,54734,Ingerophrynus philippinicus,13707.08852,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,21.48959535,0.019006877,230.4654788
162,811,54768,Duttaphrynus stomaticus,4358731.016,0,"Cont. Shelf, Slope & Rise",5000,Intracratonic,397052.35, , ,12323488,1148.154064,159.1567931,1751949.654
